Problem_Dimension,Bestcost,BestcostsRanks,Worstcost,WorstcostsRanks,Std,StdRank,Mean,MeanRank,CPUTime,CPUTimeRank
"F1, 30D",4.72206795644057e-32,1,3.80531984448057e-24,1,7.62176208723501e-25,1,3.2288866038283e-25,1,0.0333333333333333,7
"F2, 10D",5.0397985948769e-17,1,1.4654755375973e-12,1,3.22184500861833e-13,1,1.57457190593944e-13,1,0.0135416666666667,5
"F3, 10D",4.76671511105039e-32,1,3.11804540549799e-21,1,5.68880109359268e-22,1,1.06096261648571e-22,1,0.0291666666666667,8
"F4, 10D",7.61128791562901e-16,1,1.09624571153641e-11,1,2.12165283543276e-12,1,7.54160084506662e-13,1,0.00833333333333333,6
"F5, 10D",4.70883287840486e-06,1,6.80932897968591,1,2.83984098253958,2,4.61618550500929,1,0.0130208333333333,6
"F6, 10D",2.6279700926063e-17,1,5.99786730044103e-14,1,1.09694482169653e-14,1,3.39646307010476e-15,1,0.009375,5
"F7, 10D",9.1114648354707e-05,2,0.0116835834886921,2,0.00241396551210561,2,0.00221257493270626,2,0.0203125,7
"F8, 10D",-3259.0250765596,7,-2050.86378262256,5,345.228329595244,4,-2662.85290519641,6,0.0109375,5
"F9, 10D",0,1.5,0,1,0,1,0,1,0.00885416666666667,5
"F10, 10D",8.88178419700125e-16,1,5.12390130325002e-12,1,1.05313486215012e-12,1,4.06252809170837e-13,1,0.0125,7
"F11, 10D",0,1,0,1,0,1,0,1,0.0109375,5
"F12, 10D",2.33553165193103e-18,1,1.14692520846946e-14,1,2.0730078720009e-15,1,6.30349464360284e-16,1,0.0432291666666667,8
"F13, 10D",8.85656005015267e-17,1,0.0109873658358892,1,0.0047265787351674,1,0.0025637186951036,1,0.0385416666666667,8
"F14, 2D",0.99800383779445,1,12.6705058111358,5,3.89605406847072,6,5.34506280784087,7,0.059375,9
"F15, 4D",0.00030751436465235,1,0.00122317338277812,1,0.000212926926740201,1,0.000479952904249593,1,0.00364583333333333,4.5
"F16, 2D",-1.03162845348988,1,-1.03162845348988,1,4.91343707701452e-16,1,-1.03162845348988,1,0.003125,4
"F17, 2D",0.397887357729738,1,0.39788735772974,1,3.24338745434428e-16,1,0.397887357729738,1,0.00989583333333333,4
"F18, 2D",2.99999999999992,1,2.99999999999994,1,5.93062522275562e-15,1,2.99999999999993,1,0.0046875,5
"F19, 3D",-0.300478907194946,4.5,-0.300478907194946,4.5,2.25840514163348e-16,4.5,-0.300478907194947,4.5,0.00260416666666667,4
"F20, 6D",-3.32199517158424,1,-3.20310205026433,1,0.0604628147989464,4,-3.26254861092429,5,0.00364583333333333,4.5
"F21, 4D",-10.1531996790582,1,-5.05519772893275,1,2.58680910036364,5,-7.77413210233305,2,0.00364583333333333,3
"F22, 4D",-10.4029405668187,1,-3.724300346507,2,2.96420706973109,6,-7.11762224503702,5,0.003125,1
"F23, 4D",-10.536409816692,1,-2.42173402725985,2,2.96667546169693,6,-8.19370105818597,2,0.00625,5
